# energy grid [eV]     JDOS [1/eV]
# O_p  Co_d
                   0.000000000                   0.000000000
                   0.025041736                   0.000000000
                   0.050083472                   0.000000000
                   0.075125209                   0.000000000
                   0.100166945                   0.000000000
                   0.125208681                   0.000000000
                   0.150250417                   0.000000000
                   0.175292154                   0.000000000
                   0.200333890                   0.000000000
                   0.225375626                   0.000000000
                   0.250417362                   0.000000000
                   0.275459098                   0.000000000
                   0.300500835                   0.000000000
                   0.325542571                   0.000000000
                   0.350584307                   0.000000000
                   0.375626043                   0.000000000
                   0.400667780                   0.000000000
                   0.425709516                   0.000000000
                   0.450751252                   0.000000000
                   0.475792988                   0.000000000
                   0.500834725                   0.000000000
                   0.525876461                   0.000000000
                   0.550918197                   0.000000000
                   0.575959933                   0.000000000
                   0.601001669                   0.000000000
                   0.626043406                   0.000000000
                   0.651085142                   0.000000000
                   0.676126878                   0.000000000
                   0.701168614                   0.000000000
                   0.726210351                   0.000000000
                   0.751252087                   0.000000000
                   0.776293823                   0.000000000
                   0.801335559                   0.000000000
                   0.826377295                   0.000000000
                   0.851419032                   0.000000000
                   0.876460768                   0.000000000
                   0.901502504                   0.000000000
                   0.926544240                   0.000000000
                   0.951585977                   0.000000000
                   0.976627713                   0.000000000
                   1.001669449                   0.000000000
                   1.026711185                   0.000000000
                   1.051752922                   0.000000000
                   1.076794658                   0.000000000
                   1.101836394                   0.000000000
                   1.126878130                   0.000000000
                   1.151919866                   0.000000000
                   1.176961603                   0.000000000
                   1.202003339                   0.000000000
                   1.227045075                   0.000000000
                   1.252086811                   0.000000000
                   1.277128548                   0.000000000
                   1.302170284                   0.000000000
                   1.327212020                   0.000000000
                   1.352253756                   0.000000000
                   1.377295492                   0.000000000
                   1.402337229                   0.000000000
                   1.427378965                   0.000000000
                   1.452420701                   0.000000000
                   1.477462437                   0.000000000
                   1.502504174                   0.000000000
                   1.527545910                   0.000000000
                   1.552587646                   0.000000000
                   1.577629382                   0.000000000
                   1.602671119                   0.000000000
                   1.627712855                   0.000000000
                   1.652754591                   0.000000000
                   1.677796327                   0.000000000
                   1.702838063                   0.000000000
                   1.727879800                   0.000000000
                   1.752921536                   0.000000000
                   1.777963272                   0.000000000
                   1.803005008                   0.000000000
                   1.828046745                   0.000000000
                   1.853088481                   0.000000000
                   1.878130217                   0.000000000
                   1.903171953                   0.000000000
                   1.928213689                   0.000000000
                   1.953255426                   0.000000000
                   1.978297162                   0.000000000
                   2.003338898                   0.000000000
                   2.028380634                   0.000000000
                   2.053422371                   0.000000000
                   2.078464107                   0.000000000
                   2.103505843                   0.000000000
                   2.128547579                   0.000000000
                   2.153589316                   0.000000000
                   2.178631052                   0.000000000
                   2.203672788                   0.000000000
                   2.228714524                   0.000000000
                   2.253756260                   0.000000000
                   2.278797997                   0.000000000
                   2.303839733                   0.000000000
                   2.328881469                   0.000000000
                   2.353923205                   0.000000000
                   2.378964942                   0.000000000
                   2.404006678                   0.000000000
                   2.429048414                   0.000000000
                   2.454090150                   0.000000000
                   2.479131886                   0.000000000
                   2.504173623                   0.000000000
                   2.529215359                   0.000000000
                   2.554257095                   0.000000000
                   2.579298831                   0.000000000
                   2.604340568                   0.000000000
                   2.629382304                   0.000000000
                   2.654424040                   0.000000000
                   2.679465776                   0.000000000
                   2.704507513                   0.000000000
                   2.729549249                   0.000000000
                   2.754590985                   0.000000000
                   2.779632721                   0.000000000
                   2.804674457                   0.000000000
                   2.829716194                   0.000000000
                   2.854757930                   0.000000000
                   2.879799666                   0.000000000
                   2.904841402                   0.000000000
                   2.929883139                   0.000000000
                   2.954924875                   0.000000000
                   2.979966611                   0.000000000
                   3.005008347                   0.000000000
                   3.030050083                   0.000000000
                   3.055091820                   0.000000000
                   3.080133556                   0.000000000
                   3.105175292                   0.000000000
                   3.130217028                   0.000000000
                   3.155258765                   0.000000000
                   3.180300501                   0.000000000
                   3.205342237                   0.000000000
                   3.230383973                   0.000000000
                   3.255425710                   0.000000001
                   3.280467446                   0.000000003
                   3.305509182                   0.000000006
                   3.330550918                   0.000000014
                   3.355592654                   0.000000033
                   3.380634391                   0.000000072
                   3.405676127                   0.000000155
                   3.430717863                   0.000000320
                   3.455759599                   0.000000642
                   3.480801336                   0.000001249
                   3.505843072                   0.000002356
                   3.530884808                   0.000004306
                   3.555926544                   0.000007630
                   3.580968280                   0.000013105
                   3.606010017                   0.000021821
                   3.631051753                   0.000035224
                   3.656093489                   0.000055122
                   3.681135225                   0.000083627
                   3.706176962                   0.000123001
                   3.731218698                   0.000175404
                   3.756260434                   0.000242530
                   3.781302170                   0.000325183
                   3.806343907                   0.000422854
                   3.831385643                   0.000533404
                   3.856427379                   0.000652956
                   3.881469115                   0.000776115
                   3.906510851                   0.000896574
                   3.931552588                   0.001008097
                   3.956594324                   0.001105814
                   3.981636060                   0.001187639
                   4.006677796                   0.001255618
                   4.031719533                   0.001316938
                   4.056761269                   0.001384392
                   4.081803005                   0.001476114
                   4.106844741                   0.001614513
                   4.131886477                   0.001824390
                   4.156928214                   0.002130356
                   4.181969950                   0.002553734
                   4.207011686                   0.003109231
                   4.232053422                   0.003801747
                   4.257095159                   0.004623751
                   4.282136895                   0.005553681
                   4.307178631                   0.006555770
                   4.332220367                   0.007581601
                   4.357262104                   0.008573445
                   4.382303840                   0.009469178
                   4.407345576                   0.010208293
                   4.432387312                   0.010738226
                   4.457429048                   0.011020142
                   4.482470785                   0.011033298
                   4.507512521                   0.010777324
                   4.532554257                   0.010272061
                   4.557595993                   0.009555011
                   4.582637730                   0.008676846
                   4.607679466                   0.007695686
                   4.632721202                   0.006671060
                   4.657762938                   0.005658366
